red_model,blue_model,seed,winner,red_score,blue_score,total_turns,game_duration
openai,gemini,4849,red,9,6,3,12.025970220565796
openai,gemini,5051,red,9,6,3,12.421790838241577
gemini,openai,42,blue,6,8,4,20.938636779785156
gemini,openai,123,blue,8,8,4,15.634206295013428
gemini,openai,456,blue,8,8,4,15.485106706619263
gemini,openai,789,red,9,6,3,13.41016697883606
gemini,openai,1011,red,9,6,3,13.954352855682373
gemini,openai,1213,red,9,6,3,12.337417125701904
gemini,openai,1415,red,9,6,3,12.480064868927002
gemini,openai,1617,red,9,6,3,12.300593376159668
gemini,openai,1819,red,9,6,3,12.779064416885376
gemini,openai,2021,blue,8,8,4,17.73999524116516
gemini,openai,2223,blue,7,8,4,16.050036191940308
gemini,openai,2425,red,9,6,3,13.122264623641968
gemini,openai,2627,blue,8,8,4,18.259093046188354
gemini,openai,2829,red,9,6,3,15.999913692474365
gemini,openai,3031,red,9,6,3,12.437163591384888
gemini,openai,3233,red,9,6,3,17.77730393409729
gemini,openai,3435,red,9,6,3,19.446379899978638
gemini,openai,3637,blue,8,8,4,20.870504140853882
gemini,openai,3839,red,9,6,3,11.840282917022705
gemini,openai,4041,red,9,6,3,12.524040460586548
gemini,openai,4243,red,9,6,3,14.76638150215149
gemini,openai,4445,red,9,7,3,14.120275974273682
gemini,openai,4647,red,9,6,3,12.382098913192749
gemini,openai,4849,blue,8,8,4,15.818292617797852
gemini,openai,5051,red,9,6,3,15.229034423828125
openai,roberta,42,red,9,3,3,13.157145738601685
openai,roberta,123,red,9,5,3,11.462766170501709
openai,roberta,456,red,9,0,3,11.38495397567749
openai,roberta,789,red,9,2,3,10.978461503982544
openai,roberta,1011,red,9,6,3,13.823070049285889
openai,roberta,1213,red,9,0,3,11.489552974700928
openai,roberta,1415,red,9,6,5,17.750622987747192
openai,roberta,1617,red,9,2,3,11.30426573753357
openai,roberta,1819,red,9,5,3,11.566874265670776
openai,roberta,2021,red,9,5,3,13.457727432250977
openai,roberta,2223,red,9,3,3,10.99454140663147
openai,roberta,2425,red,9,0,3,11.212358951568604
openai,roberta,2627,red,9,4,5,18.60532259941101
openai,roberta,2829,red,9,6,3,13.18033242225647
openai,roberta,3031,red,9,5,3,13.550314903259277
openai,roberta,3233,red,9,5,3,11.140314102172852
openai,roberta,3435,red,9,1,3,12.036160469055176
openai,roberta,3637,red,9,4,3,11.183976173400879
openai,roberta,3839,red,9,3,3,13.652451276779175
openai,roberta,4041,red,9,2,3,11.45930552482605
openai,roberta,4243,red,9,5,3,11.168893575668335
openai,roberta,4445,red,9,3,5,17.95038414001465
openai,roberta,4647,red,9,2,3,12.11015772819519
openai,roberta,4849,red,9,2,3,12.701109647750854
openai,roberta,5051,red,9,3,3,11.236587285995483
roberta,openai,42,blue,5,8,4,13.868207216262817
roberta,openai,123,blue,7,8,4,14.700340509414673
roberta,openai,456,red,9,6,3,12.002638578414917
roberta,openai,789,blue,7,8,4,16.35208773612976
roberta,openai,1011,blue,4,8,4,14.223430156707764
roberta,openai,1213,blue,8,8,4,14.03050184249878
roberta,openai,1415,red,9,6,3,9.80945110321045
roberta,openai,1617,blue,4,8,4,16.03193235397339
roberta,openai,1819,blue,8,8,4,14.499932765960693
roberta,openai,2021,red,9,6,3,10.404304265975952
roberta,openai,2223,blue,7,8,6,20.84433341026306
roberta,openai,2425,blue,7,8,4,15.37039041519165
roberta,openai,2627,blue,6,8,4,14.488540649414062
roberta,openai,2829,blue,3,8,4,14.09544849395752
roberta,openai,3031,red,9,6,3,9.841127157211304
roberta,openai,3233,blue,3,8,4,15.525885820388794
roberta,openai,3435,blue,8,8,4,15.830254793167114
roberta,openai,3637,blue,6,8,4,14.301361083984375
roberta,openai,3839,blue,1,8,4,14.703547477722168
roberta,openai,4041,blue,7,8,4,15.695374250411987
roberta,openai,4243,blue,5,8,4,13.857594966888428
roberta,openai,4445,blue,7,7,4,10.074949741363525
roberta,openai,4647,blue,7,8,4,13.678931713104248
roberta,openai,4849,blue,6,8,4,14.382103204727173
roberta,openai,5051,blue,3,8,4,15.770205020904541
gemini,roberta,42,red,9,7,5,18.097736120224
gemini,roberta,123,red,9,6,5,18.288753271102905
gemini,roberta,456,red,9,3,5,21.05999231338501
gemini,roberta,789,red,9,0,3,11.625805616378784
gemini,roberta,1011,red,9,6,3,11.690021753311157
gemini,roberta,1213,red,9,0,3,11.620351791381836
gemini,roberta,1415,red,9,4,3,12.075833559036255
gemini,roberta,1617,red,9,6,5,20.117226123809814
gemini,roberta,1819,red,9,5,3,11.378398180007935
gemini,roberta,2021,red,9,3,3,11.028334379196167
gemini,roberta,2223,red,9,0,3,11.657442331314087
gemini,roberta,2425,red,9,0,3,13.019153118133545
gemini,roberta,2627,red,9,5,5,18.390625476837158
gemini,roberta,2829,red,9,6,3,11.25727391242981
gemini,roberta,3031,red,9,5,3,11.376660346984863
gemini,roberta,3233,red,9,0,3,11.326425552368164
gemini,roberta,3435,red,9,1,3,15.219178199768066
gemini,roberta,3637,red,9,6,5,17.641354084014893
gemini,roberta,3839,red,9,3,3,11.315706729888916
gemini,roberta,4041,red,9,5,3,11.90498423576355
gemini,roberta,4243,red,9,0,3,13.251328706741333
gemini,roberta,4445,red,9,3,3,11.069134950637817
gemini,roberta,4647,red,9,2,3,11.484122514724731
gemini,roberta,4849,red,9,3,5,17.616770029067993
gemini,roberta,5051,red,9,5,5,19.470285177230835
roberta,gemini,42,blue,5,8,4,14.449870347976685
roberta,gemini,123,blue,7,8,4,13.580252885818481
roberta,gemini,456,blue,7,8,4,14.792285203933716
roberta,gemini,789,blue,7,8,4,16.256805658340454
roberta,gemini,1011,blue,2,8,4,16.61596131324768
roberta,gemini,1213,blue,8,8,4,13.865907192230225
roberta,gemini,1415,red,9,6,3,10.202125072479248
roberta,gemini,1617,blue,4,8,4,16.00816559791565
roberta,gemini,1819,red,9,6,3,10.777957201004028
roberta,gemini,2021,red,9,6,3,10.317192077636719
roberta,gemini,2223,blue,4,8,4,15.029612064361572
roberta,gemini,2425,blue,7,8,4,13.946515798568726
roberta,gemini,2627,red,9,6,5,18.980483293533325
roberta,gemini,2829,blue,3,8,4,14.219648361206055
roberta,gemini,3031,red,9,7,3,10.513781070709229
roberta,gemini,3233,blue,3,8,4,14.596172094345093
roberta,gemini,3435,blue,8,8,4,15.820270299911499
roberta,gemini,3637,blue,5,8,4,16.41039490699768
roberta,gemini,3839,blue,2,8,4,14.324880361557007
roberta,gemini,4041,blue,7,8,4,13.825255393981934
roberta,gemini,4243,blue,5,8,4,16.016552209854126
roberta,gemini,4445,blue,5,7,8,23.059608221054077
roberta,gemini,4647,blue,7,8,4,14.374252319335938
roberta,gemini,4849,blue,6,8,4,14.296484470367432
roberta,gemini,5051,blue,3,8,4,16.476147651672363
